id  nama_bidang_masalah                     
--  ----------------------------------------
1   JDK(Jasmani dan Kesehatan)              
2   DPI(Diri Pribadi)                       
3   KHK(Keadaan dan Hubungan dalam Keluarga)
4   HSO(Hubungan Sosial)                    
5   KDP(Karir dan Pekerjaan)                
6   EDK(Ekonomi & Keuangan)                 
7   WSG (Waktu Senggang)                    
8   ANM(Agama dan Nilai Moral)              
9   HMP(Hubungan Muda-mudi dan Perkawinan)  
10  PDP(Pendidikan dan Pembelajaran)        
